Site,Timing,Sensor,Method,plot,MW,floral,woody,grass,broadleaf,bare,wetland,unclassified,area_sampled,site_area,plot_area
Transmission (MN),Early Season,1,Square plot,5,0,1,40,40,0,20,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,5,0,0,30,37,13,20,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,5,0,0,0,45,50,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,5,0,0,30,55,5,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,5,0,0,60,35,0,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,25,65,5,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,20,45,25,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,15,45,40,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,55,40,0,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,30,60,5,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,70,25,5,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,10,7,83,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,3,0,80,15,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,1,0,15,45,30,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,6,0,0,35,55,0,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,20,65,0,15,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,20,70,5,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,5,65,20,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,0,60,20,20,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,0,45,35,20,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,15,65,5,15,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,0,85,0,15,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,65,20,0,15,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,0,85,15,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,7,0,0,0,60,35,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,1,0,0,60,30,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,0,0,0,60,30,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,0,0,0,52,48,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,1,0,0,65,25,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,1,0,7,55,33,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,1,0,0,70,20,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,0,12,0,25,70,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,0,0,20,30,45,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,1,0,10,45,35,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,8,2,0,0,35,60,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,70,20,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,55,40,0,5,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,2,0,25,35,30,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,25,65,10,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,30,55,15,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,1,9,90,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,94,6,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,100,0,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,100,0,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,9,0,0,0,100,0,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,10,85,5,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,0,96,4,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,2,97,1,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,0,96,4,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,1,70,4,25,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,25,60,15,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,1,97,2,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,0,96,4,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,10,70,20,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,Square plot,10,0,0,70,25,5,0,0,0,1,15629.4,1562.94
Transmission (MN),Early Season,1,CCAA,6,4,0.5,10,65,23,2,0,0,139.4,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,1,60,0,2,88,7,1,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,2,26,0,6,86,5,1,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,3,142,0,12,79,7,0,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,4,50,0,10,73,13,3,0,1,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,5,5,0,20,66,8,4,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,6,12,0,21,61,9,7,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,7,45,0,12,66,12,9,0,1,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,8,220,0,4,64,27,3,0,2,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,9,111,0,2,69,23,5,0,1,1562.94,15629.4,1562.94
Transmission (MN),Early Season,1,Machine learning,10,33,0,15,54,28,2,0,1,1562.94,15629.4,1562.94
Gas (OH),Late season,2,Site al,1,1,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,2,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,3,1,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,4,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,5,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,6,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,7,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,8,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,9,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Site al,10,0,NA,NA,NA,NA,NA,NA,NA,278.77,2787.7,278.77
Gas (OH),Late season,2,Transect plot,1,0,0,0,35,17,48,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,2,0,0,0,50,25,25,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,3,0,0,0,50,20,30,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,4,0,0,0,25,7,68,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,5,0,0,0,45,25,30,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,6,0,0,0,0,15,85,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,7,0,0,10,50,15,25,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,8,0,0,15,0,5,80,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,9,0,0,0,0,45,55,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Transect plot,10,0,0,0,15,5,80,0,0,4,2787.7,278.77
Gas (OH),Late season,2,Square plot,1,0,0,3,52,25,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,1,0,1,0,55,20,25,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,1,1,0,5,75,15,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,1,0,0,0,60,10,30,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,1,0,0,1,74,20,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,2,0,0,1,70,4,25,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,2,0,3,0,85,15,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,2,0,10,0,0,100,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,2,0,0,0,20,75,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,2,0,0,0,40,55,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,3,0,0,2,23,75,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,3,0,0,0,50,40,10,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,3,0,0,0,80,20,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,3,0,0,0,45,35,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,3,0,0,0,60,10,30,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,4,0,0,2,78,10,10,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,4,0,0,0,75,20,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,4,0,0,2,3,75,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,4,0,0,0,30,10,60,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,4,0,0,0,95,5,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,5,0,0,0,70,25,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,5,0,2,1,84,10,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,5,0,2,0,10,70,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,5,0,0,0,0,0,100,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,5,0,0,0,0,0,100,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,6,0,0,0,50,20,30,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,6,0,0,0,0,0,100,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,6,0,0,0,0,13,87,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,6,0,0,0,30,65,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,6,0,0,0,68,32,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,7,0,2,0,70,30,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,7,0,0,0,55,40,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,7,0,0,2,75,18,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,7,0,0,0,65,30,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,7,0,0,15,40,30,15,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,8,0,0,30,15,30,25,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,8,0,0,30,0,0,70,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,8,0,0,60,10,10,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,8,0,0,25,45,10,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,8,0,0,60,0,15,25,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,9,0,0,0,95,5,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,9,0,0,2,68,20,10,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,9,0,0,2,28,5,65,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,9,0,0,0,50,10,40,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,9,0,0,20,40,0,40,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,10,0,0,0,30,10,60,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,10,0,0,75,10,10,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,10,0,0,5,60,30,5,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,10,0,0,25,35,20,20,0,0,1,2787.7,278.77
Gas (OH),Late season,2,Square plot,10,0,0,5,55,40,0,0,0,1,2787.7,278.77
Gas (OH),Late season,2,CCAA,6,0,0,0,25,15,60,0,0,139.4,2787.7,278.77
Gas (OH),Late season,2,Machine learning,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gas (OH),Late season,2,Machine learning,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gas (OH),Late season,2,Machine learning,3,0,0,66,22,2,10,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,4,0,0,72,15,1,12,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,5,0,0,63,18,1,18,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,6,0,0,63,15,1,21,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,7,0,0,62,17,2,19,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,8,0,0,74,13,1,12,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,9,0,0,73,12,1,14,0,0,278.77,2787.7,278.77
Gas (OH),Late season,2,Machine learning,10,0,0,60,18,5,17,0,0,278.77,2787.7,278.77
Distribution (OH),Late season,2,Site al,1,7,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,2,71,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,3,17,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,4,11,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,5,0,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,6,0,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,7,0,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,8,16,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,9,1,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Site al,10,44,NA,NA,NA,NA,NA,NA,NA,1392.936,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,1,0,7,4,81,15,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,1,0,6,3,90,7,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,2,0,3,1,94,5,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,2,0,5,0,90,5,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,3,0,18,0,69,31,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,3,0,3,3,92,5,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,4,0,0,0,90,3,7,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,4,0,0,0,95,5,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,5,0,7,0,80,20,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,5,0,16,1,41,58,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,6,0,2,0,55,40,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,6,0,5,0,65,35,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,7,0,20,10,20,70,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,7,0,1,0,35,60,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,8,0,5,0,50,45,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,8,0,0,5,50,45,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,9,1,0,5,90,5,0,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,9,0,3,5,75,15,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,10,0,2,0,35,60,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Transect plot,10,0,5,10,55,30,5,0,0,4,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,3,0,66,30,4,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,0,68,2,30,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,2,0,75,12,13,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,1,0,55,43,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,0,90,9,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,6,0,71,28,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,8,90,0,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,0,97,3,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,0,99,1,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,1,0,0,0,100,0,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,2,0,6,94,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,0,0,96,4,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,0,0,60,38,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,0,0,82,16,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,0,0,95,4,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,2,0,81,18,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,1,0,68,29,3,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,2,0,87,7,6,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,2,6,81,11,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,2,0,0,0,14,56,30,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,0,0,90,9,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,2,2,80,17,1,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,0,25,17,58,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,1,0,45,52,3,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,0,3,39,54,4,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,1,2,86,12,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,2,3,57,40,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,1,0,22,70,8,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,0,0,70,25,5,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,3,0,0,0,68,25,7,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,0,0,89,8,3,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,0,0,99,1,0,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,0,0,84,6,10,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,1,0,78,20,2,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,0,3,84,6,7,0,0,1,13929.36,1392.936
Distribution (OH),Late season,2,Square plot,4,0,0,0,86,11,3,0,0,1,13929.36,1392.936
